,Unnamed: 0,Date,Signals,Position,Trade,Portfolio
0,0,2020-01-02 00:00:00-05:00,0,Hold,,100000.0
1,1,2020-01-03 00:00:00-05:00,0,Hold,0.0,100000.0
2,2,2020-01-06 00:00:00-05:00,0,Hold,0.0,100000.0
3,3,2020-01-07 00:00:00-05:00,0,Hold,0.0,100000.0
4,4,2020-01-08 00:00:00-05:00,0,Hold,0.0,100000.0
5,5,2020-01-09 00:00:00-05:00,0,Hold,0.0,100000.0
6,6,2020-01-10 00:00:00-05:00,0,Hold,0.0,100000.0
7,7,2020-01-13 00:00:00-05:00,0,Hold,0.0,100000.0
8,8,2020-01-14 00:00:00-05:00,0,Hold,0.0,100000.0
9,9,2020-01-15 00:00:00-05:00,0,Hold,0.0,100000.0
10,10,2020-01-16 00:00:00-05:00,0,Hold,0.0,100000.0
11,11,2020-01-17 00:00:00-05:00,0,Hold,0.0,100000.0
12,12,2020-01-21 00:00:00-05:00,0,Hold,0.0,100000.0
13,13,2020-01-22 00:00:00-05:00,0,Hold,0.0,100000.0
14,14,2020-01-23 00:00:00-05:00,0,Hold,0.0,100000.0
15,15,2020-01-24 00:00:00-05:00,0,Hold,0.0,100000.0
16,16,2020-01-27 00:00:00-05:00,0,Hold,0.0,100000.0
17,17,2020-01-28 00:00:00-05:00,0,Hold,0.0,100000.0
18,18,2020-01-29 00:00:00-05:00,0,Hold,0.0,100000.0
19,19,2020-01-30 00:00:00-05:00,0,Hold,0.0,100000.0
20,20,2020-01-31 00:00:00-05:00,1,Buy,1.0,100000.0
21,21,2020-02-03 00:00:00-05:00,0,Hold,-1.0,101507.5231705598
22,22,2020-02-04 00:00:00-05:00,0,Hold,0.0,103517.55664646134
23,23,2020-02-05 00:00:00-05:00,0,Hold,0.0,106891.5820732752
24,24,2020-02-06 00:00:00-05:00,0,Hold,0.0,107106.95248466785
25,25,2020-02-07 00:00:00-05:00,0,Hold,0.0,105814.75325270821
26,26,2020-02-10 00:00:00-05:00,0,Hold,0.0,106030.13915503168
27,27,2020-02-11 00:00:00-05:00,0,Hold,0.0,106748.01987176608
28,28,2020-02-12 00:00:00-05:00,0,Hold,0.0,107896.60268395868
29,29,2020-02-13 00:00:00-05:00,0,Hold,0.0,105527.61335875912
30,30,2020-02-14 00:00:00-05:00,0,Hold,0.0,103661.14982983212
31,31,2020-02-18 00:00:00-05:00,0,Hold,0.0,103230.41675251225
32,32,2020-02-19 00:00:00-05:00,0,Hold,0.0,103876.52024122477
33,33,2020-02-20 00:00:00-05:00,0,Hold,0.0,103876.52024122477
34,34,2020-02-21 00:00:00-05:00,0,Hold,0.0,101794.6630645089
35,35,2020-02-24 00:00:00-05:00,1,Buy,1.0,98420.66087409126
36,36,2020-02-25 00:00:00-05:00,1,Buy,0.0,95692.72344505909
37,37,2020-02-26 00:00:00-05:00,1,Buy,0.0,93610.89725020487
38,38,2020-02-27 00:00:00-05:00,1,Buy,0.0,90308.67228780911
39,39,2020-02-28 00:00:00-05:00,0,Hold,-1.0,91816.21094929974
40,40,2020-03-02 00:00:00-05:00,0,Hold,0.0,92534.08392056871
41,41,2020-03-03 00:00:00-05:00,0,Hold,0.0,90380.46500676179
42,42,2020-03-04 00:00:00-05:00,0,Hold,0.0,88011.47568156224
43,43,2020-03-05 00:00:00-05:00,0,Hold,0.0,84637.45025474836
44,44,2020-03-06 00:00:00-05:00,0,Hold,0.0,86073.21168821714
45,45,2020-03-09 00:00:00-04:00,0,Hold,0.0,79971.27981423275
46,46,2020-03-10 00:00:00-04:00,0,Hold,0.0,83599.73603453858
47,47,2020-03-11 00:00:00-04:00,0,Hold,0.0,76705.65217593362
48,48,2020-03-12 00:00:00-04:00,1,Buy,1.0,66183.11209702281
49,49,2020-03-13 00:00:00-04:00,0,Hold,-1.0,71553.24465291796
50,50,2020-03-16 00:00:00-04:00,1,Buy,1.0,60595.293235575235
51,51,2020-03-17 00:00:00-04:00,0,Hold,-1.0,60014.73962068907
52,52,2020-03-18 00:00:00-04:00,0,Hold,0.0,61901.53112360369
53,53,2020-03-19 00:00:00-04:00,0,Hold,0.0,66110.5525769938
54,54,2020-03-20 00:00:00-04:00,0,Hold,0.0,62627.23476040952
55,55,2020-03-23 00:00:00-04:00,0,Hold,0.0,56821.69861154787
56,56,2020-03-24 00:00:00-04:00,0,Hold,0.0,64876.87420899435
57,57,2020-03-25 00:00:00-04:00,0,Hold,0.0,68142.4979745608
58,58,2020-03-26 00:00:00-04:00,0,Hold,0.0,76415.37536849052
59,59,2020-03-27 00:00:00-04:00,0,Hold,0.0,71262.96784547486
60,60,2020-03-30 00:00:00-04:00,0,Hold,0.0,72932.04593370811
61,61,2020-03-31 00:00:00-04:00,0,Hold,0.0,70464.71243410546
62,62,2020-04-01 00:00:00-04:00,0,Hold,0.0,69521.30700081638
63,63,2020-04-02 00:00:00-04:00,0,Hold,0.0,68069.93070906638
64,64,2020-04-03 00:00:00-04:00,0,Hold,0.0,67489.3693487148
65,65,2020-04-06 00:00:00-04:00,0,Hold,0.0,71335.55060190012
66,66,2020-04-07 00:00:00-04:00,0,Hold,0.0,70101.85287023713
67,67,2020-04-08 00:00:00-04:00,0,Hold,0.0,74238.29543993469
68,68,2020-04-09 00:00:00-04:00,0,Hold,0.0,76415.37536849052
69,69,2020-04-13 00:00:00-04:00,0,Hold,0.0,75181.69312775836
70,70,2020-04-14 00:00:00-04:00,0,Hold,0.0,75181.69312775836
71,71,2020-04-15 00:00:00-04:00,0,Hold,0.0,69085.88791691905
72,72,2020-04-16 00:00:00-04:00,0,Hold,0.0,67634.51937063446
73,73,2020-04-17 00:00:00-04:00,0,Hold,0.0,70464.71243410546
74,74,2020-04-20 00:00:00-04:00,0,Hold,0.0,67924.78068714672
75,75,2020-04-21 00:00:00-04:00,0,Hold,0.0,65675.13349309647
76,76,2020-04-22 00:00:00-04:00,0,Hold,0.0,65529.99896210764
77,77,2020-04-23 00:00:00-04:00,0,Hold,0.0,67271.65980676613
78,78,2020-04-24 00:00:00-04:00,0,Hold,0.0,69158.45518241345
79,79,2020-04-27 00:00:00-04:00,0,Hold,0.0,70101.85287023713
80,80,2020-04-28 00:00:00-04:00,0,Hold,0.0,71117.84105995146
81,81,2020-04-29 00:00:00-04:00,0,Hold,0.0,74818.85680028627
82,82,2020-04-30 00:00:00-04:00,0,Hold,0.0,73004.63643559878
83,83,2020-05-01 00:00:00-04:00,0,Hold,0.0,68795.60336401055
84,84,2020-05-04 00:00:00-04:00,0,Hold,0.0,68069.93070906638
85,85,2020-05-05 00:00:00-04:00,0,Hold,0.0,68287.63250554963
86,86,2020-05-06 00:00:00-04:00,0,Hold,0.0,67852.2134216523
87,87,2020-05-07 00:00:00-04:00,0,Hold,0.0,69521.30700081638
88,88,2020-05-08 00:00:00-04:00,0,Hold,0.0,74383.44546185437
