,Unnamed: 0,Date,Signals,Position,Trade,Portfolio
0,0,2020-01-02 00:00:00-05:00,0,Hold,,100000.0
1,1,2020-01-03 00:00:00-05:00,0,Hold,0.0,100000.0
2,2,2020-01-06 00:00:00-05:00,0,Hold,0.0,100000.0
3,3,2020-01-07 00:00:00-05:00,0,Hold,0.0,100000.0
4,4,2020-01-08 00:00:00-05:00,0,Hold,0.0,100000.0
5,5,2020-01-09 00:00:00-05:00,0,Hold,0.0,100000.0
6,6,2020-01-10 00:00:00-05:00,0,Hold,0.0,100000.0
7,7,2020-01-13 00:00:00-05:00,0,Hold,0.0,100000.0
8,8,2020-01-14 00:00:00-05:00,0,Hold,0.0,100000.0
9,9,2020-01-15 00:00:00-05:00,0,Hold,0.0,100000.0
10,10,2020-01-16 00:00:00-05:00,0,Hold,0.0,100000.0
11,11,2020-01-17 00:00:00-05:00,0,Hold,0.0,100000.0
12,12,2020-01-21 00:00:00-05:00,0,Hold,0.0,100000.0
13,13,2020-01-22 00:00:00-05:00,1,Buy,1.0,100000.0
14,14,2020-01-23 00:00:00-05:00,1,Buy,0.0,100864.942323898
15,15,2020-01-24 00:00:00-05:00,1,Buy,0.0,98203.59844548855
16,16,2020-01-27 00:00:00-05:00,1,Buy,0.0,96606.7978613228
17,17,2020-01-28 00:00:00-05:00,0,Hold,-1.0,97272.1320362752
18,18,2020-01-29 00:00:00-05:00,1,Buy,1.0,95941.4421505707
19,19,2020-01-30 00:00:00-05:00,1,Buy,0.0,95941.4421505707
20,20,2020-01-31 00:00:00-05:00,1,Buy,0.0,92681.32407552375
21,21,2020-02-03 00:00:00-05:00,1,Buy,0.0,94078.51651074388
22,22,2020-02-04 00:00:00-05:00,0,Hold,-1.0,95941.4421505707
23,23,2020-02-05 00:00:00-05:00,0,Hold,0.0,99068.53359078664
24,24,2020-02-06 00:00:00-05:00,0,Hold,0.0,99268.14173973225
25,25,2020-02-07 00:00:00-05:00,0,Hold,0.0,98070.5143818583
26,26,2020-02-10 00:00:00-05:00,0,Hold,0.0,98270.1368880037
27,27,2020-02-11 00:00:00-05:00,0,Hold,0.0,98935.478241556
28,28,2020-02-12 00:00:00-05:00,0,Hold,0.0,100000.0
29,29,2020-02-13 00:00:00-05:00,0,Hold,0.0,97804.38932619723
30,30,2020-02-14 00:00:00-05:00,0,Hold,0.0,96074.52621420095
31,31,2020-02-18 00:00:00-05:00,0,Hold,0.0,95675.31709490964
32,32,2020-02-19 00:00:00-05:00,0,Hold,0.0,96274.13436314656
33,33,2020-02-20 00:00:00-05:00,0,Hold,0.0,96274.13436314656
34,34,2020-02-21 00:00:00-05:00,0,Hold,0.0,94344.64156640497
35,35,2020-02-24 00:00:00-05:00,0,Hold,0.0,91217.57166198872
36,36,2020-02-25 00:00:00-05:00,0,Hold,0.0,88689.28313280991
37,37,2020-02-26 00:00:00-05:00,1,Buy,1.0,86759.81905046792
38,38,2020-02-27 00:00:00-05:00,1,Buy,0.0,83699.27323136706
39,39,2020-02-28 00:00:00-05:00,1,Buy,0.0,85096.48002378701
40,40,2020-03-02 00:00:00-05:00,1,Buy,0.0,85761.81419873939
41,41,2020-03-03 00:00:00-05:00,1,Buy,0.0,83765.81167388223
42,42,2020-03-04 00:00:00-05:00,1,Buy,0.0,81570.20100007947
43,43,2020-03-05 00:00:00-05:00,1,Buy,0.0,78443.10955986353
44,44,2020-03-06 00:00:00-05:00,1,Buy,0.0,79773.79226696811
45,45,2020-03-09 00:00:00-04:00,1,Buy,0.0,74118.44101197296
46,46,2020-03-10 00:00:00-04:00,1,Buy,0.0,77481.34228045311
47,47,2020-03-11 00:00:00-04:00,1,Buy,0.0,71091.81407742106
48,48,2020-03-12 00:00:00-04:00,1,Buy,0.0,61339.38460590886
49,49,2020-03-13 00:00:00-04:00,1,Buy,0.0,66316.49456332326
50,50,2020-03-16 00:00:00-04:00,1,Buy,0.0,56160.5200981774
51,51,2020-03-17 00:00:00-04:00,1,Buy,0.0,55622.45532093259
52,52,2020-03-18 00:00:00-04:00,1,Buy,0.0,57371.15866837833
53,53,2020-03-19 00:00:00-04:00,1,Buy,0.0,61272.13548200314
54,54,2020-03-20 00:00:00-04:00,1,Buy,0.0,58043.7504078342
55,55,2020-03-23 00:00:00-04:00,1,Buy,0.0,52663.10263538606
56,56,2020-03-24 00:00:00-04:00,0,Hold,-1.0,60128.74603570793
57,57,2020-03-25 00:00:00-04:00,0,Hold,0.0,63155.3693809599
58,58,2020-03-26 00:00:00-04:00,0,Hold,0.0,70822.78168879864
59,59,2020-03-27 00:00:00-04:00,0,Hold,0.0,66047.46217470085
60,60,2020-03-30 00:00:00-04:00,0,Hold,0.0,67594.38584672986
61,61,2020-03-31 00:00:00-04:00,0,Hold,0.0,65307.628489939154
62,62,2020-04-01 00:00:00-04:00,0,Hold,0.0,64433.2678429664
63,63,2020-04-02 00:00:00-04:00,0,Hold,0.0,63088.11307845427
64,64,2020-04-03 00:00:00-04:00,0,Hold,0.0,62550.04112260955
65,65,2020-04-06 00:00:00-04:00,0,Hold,0.0,66114.73283440628
66,66,2020-04-07 00:00:00-04:00,0,Hold,0.0,64971.32544161131
67,67,2020-04-08 00:00:00-04:00,0,Hold,0.0,68805.03518483065
68,68,2020-04-09 00:00:00-04:00,0,Hold,0.0,70822.78168879864
69,69,2020-04-13 00:00:00-04:00,-1,Sell,-1.0,69679.3886532035
70,70,2020-04-14 00:00:00-04:00,0,Hold,1.0,69679.3886532035
71,71,2020-04-15 00:00:00-04:00,0,Hold,0.0,69679.3886532035
72,72,2020-04-16 00:00:00-04:00,0,Hold,0.0,69679.3886532035
73,73,2020-04-17 00:00:00-04:00,0,Hold,0.0,69679.3886532035
74,74,2020-04-20 00:00:00-04:00,0,Hold,0.0,69679.3886532035
75,75,2020-04-21 00:00:00-04:00,0,Hold,0.0,69679.3886532035
76,76,2020-04-22 00:00:00-04:00,0,Hold,0.0,69679.3886532035
77,77,2020-04-23 00:00:00-04:00,0,Hold,0.0,69679.3886532035
78,78,2020-04-24 00:00:00-04:00,0,Hold,0.0,69679.3886532035
79,79,2020-04-27 00:00:00-04:00,0,Hold,0.0,69679.3886532035
80,80,2020-04-28 00:00:00-04:00,0,Hold,0.0,69679.3886532035
81,81,2020-04-29 00:00:00-04:00,0,Hold,0.0,69679.3886532035
82,82,2020-04-30 00:00:00-04:00,0,Hold,0.0,69679.3886532035
83,83,2020-05-01 00:00:00-04:00,0,Hold,0.0,69679.3886532035
84,84,2020-05-04 00:00:00-04:00,0,Hold,0.0,69679.3886532035
85,85,2020-05-05 00:00:00-04:00,0,Hold,0.0,69679.3886532035
86,86,2020-05-06 00:00:00-04:00,0,Hold,0.0,69679.3886532035
87,87,2020-05-07 00:00:00-04:00,0,Hold,0.0,69679.3886532035
88,88,2020-05-08 00:00:00-04:00,0,Hold,0.0,69679.3886532035
