,Unnamed: 0,Date,Signals,Position,Trade,Portfolio
0,0,2020-01-02 00:00:00-05:00,0,Hold,,100000.0
1,1,2020-01-03 00:00:00-05:00,0,Hold,0.0,100000.0
2,2,2020-01-06 00:00:00-05:00,0,Hold,0.0,100000.0
3,3,2020-01-07 00:00:00-05:00,0,Hold,0.0,100000.0
4,4,2020-01-08 00:00:00-05:00,0,Hold,0.0,100000.0
5,5,2020-01-09 00:00:00-05:00,0,Hold,0.0,100000.0
6,6,2020-01-10 00:00:00-05:00,0,Hold,0.0,100000.0
7,7,2020-01-13 00:00:00-05:00,0,Hold,0.0,100000.0
8,8,2020-01-14 00:00:00-05:00,0,Hold,0.0,100000.0
9,9,2020-01-15 00:00:00-05:00,0,Hold,0.0,100000.0
10,10,2020-01-16 00:00:00-05:00,0,Hold,0.0,100000.0
11,11,2020-01-17 00:00:00-05:00,0,Hold,0.0,100000.0
12,12,2020-01-21 00:00:00-05:00,0,Hold,0.0,100000.0
13,13,2020-01-22 00:00:00-05:00,-1,Sell,-1.0,100000.0
14,14,2020-01-23 00:00:00-05:00,-1,Sell,0.0,100000.0
15,15,2020-01-24 00:00:00-05:00,-1,Sell,0.0,100000.0
16,16,2020-01-27 00:00:00-05:00,-1,Sell,0.0,100000.0
17,17,2020-01-28 00:00:00-05:00,-1,Sell,0.0,100000.0
18,18,2020-01-29 00:00:00-05:00,-1,Sell,0.0,100000.0
19,19,2020-01-30 00:00:00-05:00,-1,Sell,0.0,100000.0
20,20,2020-01-31 00:00:00-05:00,0,Hold,1.0,100000.0
21,21,2020-02-03 00:00:00-05:00,0,Hold,0.0,100000.0
22,22,2020-02-04 00:00:00-05:00,-1,Sell,-1.0,100000.0
23,23,2020-02-05 00:00:00-05:00,0,Hold,1.0,100000.0
24,24,2020-02-06 00:00:00-05:00,0,Hold,0.0,100000.0
25,25,2020-02-07 00:00:00-05:00,0,Hold,0.0,100000.0
26,26,2020-02-10 00:00:00-05:00,0,Hold,0.0,100000.0
27,27,2020-02-11 00:00:00-05:00,0,Hold,0.0,100000.0
28,28,2020-02-12 00:00:00-05:00,-1,Sell,-1.0,100000.0
29,29,2020-02-13 00:00:00-05:00,-1,Sell,0.0,100000.0
30,30,2020-02-14 00:00:00-05:00,-1,Sell,0.0,100000.0
31,31,2020-02-18 00:00:00-05:00,-1,Sell,0.0,100000.0
32,32,2020-02-19 00:00:00-05:00,-1,Sell,0.0,100000.0
33,33,2020-02-20 00:00:00-05:00,-1,Sell,0.0,100000.0
34,34,2020-02-21 00:00:00-05:00,-1,Sell,0.0,100000.0
35,35,2020-02-24 00:00:00-05:00,0,Hold,1.0,100000.0
36,36,2020-02-25 00:00:00-05:00,0,Hold,0.0,100000.0
37,37,2020-02-26 00:00:00-05:00,0,Hold,0.0,100000.0
38,38,2020-02-27 00:00:00-05:00,0,Hold,0.0,100000.0
39,39,2020-02-28 00:00:00-05:00,0,Hold,0.0,100000.0
40,40,2020-03-02 00:00:00-05:00,0,Hold,0.0,100000.0
41,41,2020-03-03 00:00:00-05:00,0,Hold,0.0,100000.0
42,42,2020-03-04 00:00:00-05:00,0,Hold,0.0,100000.0
43,43,2020-03-05 00:00:00-05:00,0,Hold,0.0,100000.0
44,44,2020-03-06 00:00:00-05:00,0,Hold,0.0,100000.0
45,45,2020-03-09 00:00:00-04:00,0,Hold,0.0,100000.0
46,46,2020-03-10 00:00:00-04:00,0,Hold,0.0,100000.0
47,47,2020-03-11 00:00:00-04:00,0,Hold,0.0,100000.0
48,48,2020-03-12 00:00:00-04:00,0,Hold,0.0,100000.0
49,49,2020-03-13 00:00:00-04:00,0,Hold,0.0,100000.0
50,50,2020-03-16 00:00:00-04:00,0,Hold,0.0,100000.0
51,51,2020-03-17 00:00:00-04:00,0,Hold,0.0,100000.0
52,52,2020-03-18 00:00:00-04:00,0,Hold,0.0,100000.0
53,53,2020-03-19 00:00:00-04:00,0,Hold,0.0,100000.0
54,54,2020-03-20 00:00:00-04:00,0,Hold,0.0,100000.0
55,55,2020-03-23 00:00:00-04:00,0,Hold,0.0,100000.0
56,56,2020-03-24 00:00:00-04:00,0,Hold,0.0,100000.0
57,57,2020-03-25 00:00:00-04:00,0,Hold,0.0,100000.0
58,58,2020-03-26 00:00:00-04:00,0,Hold,0.0,100000.0
59,59,2020-03-27 00:00:00-04:00,0,Hold,0.0,100000.0
60,60,2020-03-30 00:00:00-04:00,0,Hold,0.0,100000.0
61,61,2020-03-31 00:00:00-04:00,0,Hold,0.0,100000.0
62,62,2020-04-01 00:00:00-04:00,0,Hold,0.0,100000.0
63,63,2020-04-02 00:00:00-04:00,0,Hold,0.0,100000.0
64,64,2020-04-03 00:00:00-04:00,0,Hold,0.0,100000.0
65,65,2020-04-06 00:00:00-04:00,0,Hold,0.0,100000.0
66,66,2020-04-07 00:00:00-04:00,0,Hold,0.0,100000.0
67,67,2020-04-08 00:00:00-04:00,0,Hold,0.0,100000.0
68,68,2020-04-09 00:00:00-04:00,0,Hold,0.0,100000.0
69,69,2020-04-13 00:00:00-04:00,0,Hold,0.0,100000.0
70,70,2020-04-14 00:00:00-04:00,0,Hold,0.0,100000.0
71,71,2020-04-15 00:00:00-04:00,0,Hold,0.0,100000.0
72,72,2020-04-16 00:00:00-04:00,0,Hold,0.0,100000.0
73,73,2020-04-17 00:00:00-04:00,-1,Sell,-1.0,100000.0
74,74,2020-04-20 00:00:00-04:00,-1,Sell,0.0,100000.0
75,75,2020-04-21 00:00:00-04:00,0,Hold,1.0,100000.0
76,76,2020-04-22 00:00:00-04:00,-1,Sell,-1.0,100000.0
77,77,2020-04-23 00:00:00-04:00,-1,Sell,0.0,100000.0
78,78,2020-04-24 00:00:00-04:00,-1,Sell,0.0,100000.0
79,79,2020-04-27 00:00:00-04:00,-1,Sell,0.0,100000.0
80,80,2020-04-28 00:00:00-04:00,-1,Sell,0.0,100000.0
81,81,2020-04-29 00:00:00-04:00,-1,Sell,0.0,100000.0
82,82,2020-04-30 00:00:00-04:00,-1,Sell,0.0,100000.0
83,83,2020-05-01 00:00:00-04:00,-1,Sell,0.0,100000.0
84,84,2020-05-04 00:00:00-04:00,-1,Sell,0.0,100000.0
85,85,2020-05-05 00:00:00-04:00,-1,Sell,0.0,100000.0
86,86,2020-05-06 00:00:00-04:00,-1,Sell,0.0,100000.0
87,87,2020-05-07 00:00:00-04:00,0,Hold,1.0,100000.0
88,88,2020-05-08 00:00:00-04:00,0,Hold,0.0,100000.0
89,89,2020-05-11 00:00:00-04:00,-1,Sell,-1.0,100000.0
90,90,2020-05-12 00:00:00-04:00,-1,Sell,0.0,100000.0
91,91,2020-05-13 00:00:00-04:00,-1,Sell,0.0,100000.0
92,92,2020-05-14 00:00:00-04:00,-1,Sell,0.0,100000.0
93,93,2020-05-15 00:00:00-04:00,-1,Sell,0.0,100000.0
